Cod Istat;Wohngemeinde;Comune di residenza;Numero casi al 19-03-2020;Numero casi al 20-03-2020;aumento di casi dal giorno precedente;
21118;U.L.Frau i.W.-St.Felix;Senale-S.Felice;0;2;2;
21117;Wengen;La Valle;2;2;0;
21116;Feldthurns;Velturno;7;7;0;
21115;Sterzing;Vipiteno;22;22;0;
21111;Vahrn;Varna;13;13;0;
21110;Vintl;Vandoies;6;6;0;
21109;Gsies;Valle di Casies;1;2;1;
21108;Ahrntal;Valle Aurina;1;1;0;
21107;Pfitsch;Val di Vizze;23;28;5;
21106;Olang;Valdaora;1;1;0;
21105;Pfatten;Vadena;2;2;0;
21104;Ulten;Ultimo;2;2;0;
21102;Truden im Naturpark;Trodena nel parco naturale;8;8;0;
21101;Tirol;Tirolo;2;2;0;
21100;Tiers;Tires;18;18;0;
21099;Tisens;Tesimo;9;9;0;
21098;Tramin a.d. Weinstr.;Termeno s.s.d.v.;1;1;0;
21097;Terlan;Terlano;13;14;1;
21094;Schluderns;Sluderno;1;1;0;
21093;Schlanders;Silandro;15;15;0;
21089;Wolkenstein in Gröden;Selva di Val Gardena;123;136;13;
21088;Mühlwald;Selva dei Molini;0;1;1;
21087;Schenna;Scena;2;2;0;
21086;Sarntal;Sarentino;1;1;0;
21085;St.Christina in Gröden;S.Cristina Valgardena;43;45;2;
21084;St.Pankraz;S.Pancrazio;3;4;1;
21083;St.Martin in Passeier;S.Martino in Passiria;5;11;6;
21082;St.Martin in Thurn;S.Martino in Badia;3;4;1;
21081;St.Lorenzen;S.Lorenzo di Sebato;2;4;2;
21080;St.Leonhard in Pass.;S.Leonardo in Passiria;0;1;1;
21079;Jenesien;S.Genesio Atesino;4;4;0;
21077;Innichen;S.Candido;1;1;0;
21076;Salurn;Salorno;1;1;0;
21075;Rodeneck;Rodengo;1;1;0;
21074;Mühlbach;Rio di Pusteria;1;3;2;
21072;Ritten;Renon;9;9;0;
21070;Ratschings;Racines;10;10;0;
21067;Prad am Stilfser Joch;Prato allo Stelvio;3;4;1;
21066;Burgstall;Postal;3;3;0;
21063;Percha;Perca;1;1;0;
21061;St.Ulrich;Ortisei;155;166;11;
21060;Auer;Ora;6;6;0;
21059;Deutschnofen;Nova Ponente;47;51;4;
21058;Welschnofen;Nova Levante;22;22;0;
21057;Natz-Schabs;Naz-Sciaves;25;25;0;
21056;Naturns;Naturno;4;4;0;
21055;Nals;Nalles;6;6;0;
21054;Moos in Passeier;Moso in Passiria;12;14;2;
21053;Montan;Montagna;4;14;10;
21052;Welsberg-Taisten;Monguelfo-Tesido;0;3;3;
21051;Meran;Merano;84;91;7;
21050;Mölten;Meltina;1;1;0;
21049;Martell;Martello;1;1;0;
21048;Marling;Marlengo;1;1;0;
21047;Enneberg;Marebbe;9;13;4;
21046;Mals;Malles Venosta;2;2;0;
21045;Margreid a.d. Weinstr.;Magre' s.s.d.v.;0;1;1;
21042;Laas;Lasa;5;5;0;
21041;Lana;Lana;8;8;0;
21040;Leifers;Laives;27;32;5;
21039;Lajen;Laion;19;21;2;
21038;Algund;Lagundo;7;7;0;
21037;Latsch;Laces;6;6;0;
21035;Gargazon;Gargazzone;7;7;0;
21034;Gais;Gais;2;2;0;
21033;Villnöss;Funes;11;11;0;
21031;Völs am Schlern;Fie' allo Sciliar;10;11;1;
21030;Pfalzen;Falzes;1;2;1;
21029;Neumarkt;Egna;16;18;2;
21028;Toblach;Dobbiaco;1;1;0;
21027;Graun im Vinschgau;Curon Venosta;0;2;2;
21026;Corvara;Corvara in Badia;10;11;1;
21024;Kurtatsch a.d.Weinstr.;Cortaccia s.s.d.v.;1;1;0;
21023;Karneid;Cornedo all'Isarco;13;15;2;
21022;Klausen;Chiusa;10;10;0;
21021;Kiens;Chienes;4;4;0;
21019;Kastelruth;Castelrotto;75;85;10;
21017;Sand in Taufers;Campo Tures;5;7;2;
21016;Freienfeld;Campo di Trens;15;16;1;
21015;Kaltern a.d. Weinstr.;Caldaro s.s.d.v.;24;24;0;
21013;Bruneck;Brunico;9;12;3;
21012;Branzoll;Bronzolo;3;3;0;
21011;Brixen;Bressanone;47;66;19;
21010;Brenner;Brennero;13;13;0;
21008;Bozen;Bolzano;366;393;27;
21007;Barbian;Barbiano;2;2;0;
21006;Abtei;Badia;5;11;6;
21004;Eppan a.d. Weinstr.;Appiano s.s.d.v.;81;86;5;
21001;Aldein;Aldino;6;6;0;
;Außerhalb der Provinz;Fuori provincia;173;134;-39;
Totale complessivo;;; 1.724 ; 1.855 ;131;
