Cod Istat;Wohngemeinde;Comune di residenza;Numero casi al 21-03-2020;Numero casi al 22-03-2020;aumento di casi dal giorno precedente
21118;U.L.Frau i.W.-St.Felix;Senale-S.Felice;2;2;0
21117;Wengen;La Valle;2;2;0
21116;Feldthurns;Velturno;7;7;0
21115;Sterzing;Vipiteno;22;22;0
21113;Niederdorf;Villabassa;0;2;2
21112;Vöran;Verano;2;2;0
21111;Vahrn;Varna;13;13;0
21110;Vintl;Vandoies;6;6;0
21109;Gsies;Valle di Casies;2;2;0
21108;Ahrntal;Valle Aurina;1;1;0
21107;Pfitsch;Val di Vizze;30;30;0
21106;Olang;Valdaora;4;6;2
21105;Pfatten;Vadena;2;2;0
21104;Ulten;Ultimo;2;2;0
21102;Truden im Naturpark;Trodena nel parco naturale;8;8;0
21101;Tirol;Tirolo;2;2;0
21100;Tiers;Tires;18;18;0
21099;Tisens;Tesimo;9;17;8
21098;Tramin a.d. Weinstr.;Termeno s.s.d.v.;1;1;0
21097;Terlan;Terlano;25;25;0
21096;Terenten;Terento;1;1;0
21094;Schluderns;Sluderno;1;1;0
21093;Schlanders;Silandro;16;16;0
21089;Wolkenstein in Gröden;Selva di Val Gardena;140;144;4
21088;Mühlwald;Selva dei Molini;2;2;0
21087;Schenna;Scena;3;3;0
21086;Sarntal;Sarentino;1;1;0
21085;St.Christina in Gröden;S.Cristina Valgardena;56;58;2
21084;St.Pankraz;S.Pancrazio;4;4;0
21083;St.Martin in Passeier;S.Martino in Passiria;11;11;0
21082;St.Martin in Thurn;S.Martino in Badia;4;4;0
21081;St.Lorenzen;S.Lorenzo di Sebato;5;8;3
21080;St.Leonhard in Pass.;S.Leonardo in Passiria;1;1;0
21079;Jenesien;S.Genesio Atesino;5;5;0
21077;Innichen;S.Candido;1;7;6
21076;Salurn;Salorno;1;1;0
21075;Rodeneck;Rodengo;1;1;0
21074;Mühlbach;Rio di Pusteria;3;3;0
21073;Riffian;Rifiano;2;2;0
21072;Ritten;Renon;10;19;9
21071;Rasen-Antholz;Rasun Anterselva;1;1;0
21070;Ratschings;Racines;15;20;5
21067;Prad am Stilfser Joch;Prato allo Stelvio;4;4;0
21066;Burgstall;Postal;4;4;0
21063;Percha;Perca;1;1;0
21062;Partschins;Parcines;0;2;2
21061;St.Ulrich;Ortisei;167;175;8
21060;Auer;Ora;6;10;4
21059;Deutschnofen;Nova Ponente;55;55;0
21058;Welschnofen;Nova Levante;22;22;0
21057;Natz-Schabs;Naz-Sciaves;25;27;2
21056;Naturns;Naturno;6;6;0
21055;Nals;Nalles;6;6;0
21054;Moos in Passeier;Moso in Passiria;14;14;0
21053;Montan;Montagna;16;16;0
21052;Welsberg-Taisten;Monguelfo-Tesido;3;3;0
21051;Meran;Merano;95;100;5
21050;Mölten;Meltina;1;1;0
21049;Martell;Martello;1;1;0
21048;Marling;Marlengo;1;1;0
21047;Enneberg;Marebbe;18;18;0
21046;Mals;Malles Venosta;2;2;0
21045;Margreid a.d. Weinstr.;Magre' s.s.d.v.;1;1;0
21042;Laas;Lasa;5;5;0
21041;Lana;Lana;11;15;4
21040;Leifers;Laives;38;38;0
21039;Lajen;Laion;27;36;9
21038;Algund;Lagundo;7;7;0
21037;Latsch;Laces;6;7;1
21035;Gargazon;Gargazzone;7;7;0
21034;Gais;Gais;4;4;0
21033;Villnöss;Funes;11;11;0
21031;Völs am Schlern;Fie' allo Sciliar;11;16;5
21030;Pfalzen;Falzes;3;3;0
21029;Neumarkt;Egna;18;20;2
21028;Toblach;Dobbiaco;1;1;0
21027;Graun im Vinschgau;Curon Venosta;2;2;0
21026;Corvara;Corvara in Badia;14;14;0
21024;Kurtatsch a.d.Weinstr.;Cortaccia s.s.d.v.;1;2;1
21023;Karneid;Cornedo all'Isarco;17;17;0
21022;Klausen;Chiusa;10;10;0
21021;Kiens;Chienes;5;9;4
21020;Tscherms;Cermes;0;1;1
21019;Kastelruth;Castelrotto;85;97;12
21017;Sand in Taufers;Campo Tures;18;18;0
21016;Freienfeld;Campo di Trens;23;23;0
21015;Kaltern a.d. Weinstr.;Caldaro s.s.d.v.;26;28;2
21013;Bruneck;Brunico;17;28;11
21012;Branzoll;Bronzolo;3;3;0
21011;Brixen;Bressanone;79;84;5
21010;Brenner;Brennero;13;13;0
21009;Prags;Braies;0;4;4
21008;Bozen;Bolzano;414;441;27
21007;Barbian;Barbiano;3;3;0
21006;Abtei;Badia;12;14;2
21004;Eppan a.d. Weinstr.;Appiano s.s.d.v.;87;90;3
21001;Aldein;Aldino;6;6;0
;Außerhalb der Provinz;Fuori provincia;137;129;-8
Totale complessivo;;; 2.011 ; 2.158 ; 147 
