Comune di residenza;latitudine;longitudine
Aldino;46,3670565;11,3539265
Andriano;46,5188794;11,2332777
Anterivo;46,2777830;11,3673416
Appiano s.s.d.v.;46,4431279;11,2600254
Avelengo;46,6459990;11,2248461
Badia;46,6110964;11,8945367
Barbiano;46,6031216;11,5203189
Bolzano;46,4951665;11,3541034
Braies;46,7177959;12,1134198
Brennero;47,0032191;11,5052116
Bressanone;46,7126050;11,6577450
Bronzolo;46,4032962;11,3206481
Brunico;46,7976004;11,9367814
Caines;46,6995183;11,1725146
Caldaro s.s.d.v.;46,3947429;11,2543808
Campo di Trens;46,8715623;11,4841965
Campo Tures;46,9150700;11,9525500
Castelbello-Ciardes;46,6283615;10,9010845
Castelrotto;46,5675000;11,5620370
Cermes;46,6356481;11,1476666
Chienes;46,8075280;11,8375510
Chiusa;46,6396290;11,5648150
Cornedo all'Isarco;46,4938266;11,3932545
Cortaccia s.s.d.v.;46,3762076;11,2521805
Cortina s.s.d.v.;46,2702944;11,2232203
Corvara in Badia;46,5520147;11,8741541
Curon Venosta;46,8084204;10,5421650
Dobbiaco;46,7354510;12,2224970
Egna;46,3135507;11,2728204
Falzes;46,8153148;11,8848703
Fie' allo Sciliar;46,5176666;11,5023518
Fortezza;46,7884208;11,6106574
Funes;46,6403946;11,6865436
Gais;46,8315210;11,9457007
Gargazzone;46,5857962;11,2047037
Glorenza;46,6709660;10,5544169
La Valle;46,6569971;11,9253532
Laces;46,6178148;10,8575185
Lagundo;46,6821907;11,1268038
Laion;46,6096625;11,5668514
Laives;46,4268502;11,3377286
Lana;46,6134629;11,1570555
Lasa;46,6172712;10,6988206
Lauregno;46,4553333;11,0628148
Luson;46,7381309;11,6878765
Magre' s.s.d.v.;46,2856940;11,2120218
Malles Venosta;46,6853333;10,5498703
Marebbe;46,6990330;11,9342604
Marlengo;46,6564259;11,1439074
Martello;46,5658761;10,7824609
Meltina;46,6078505;11,2676028
Merano;46,6691035;11,1639856
Monguelfo-Tesido;46,7665760;12,1153940
Montagna;46,3314231;11,3019502
Moso in Passiria;46,8326339;11,1664255
Nalles;46,5437610;11,2076990
Naturno;46,6540600;11,0078300
Naz-Sciaves;46,7698703;11,6667407
Nova Levante;46,4655490;11,5231100
Nova Ponente;46,4139259;11,4315740
Ora;46,3457666;11,2963371
Ortisei;46,5760000;11,6685500
Parcines;46,6851666;11,0745555
Perca;46,7944891;11,9826886
Plaus;46,6562180;11,0415320
Ponte Gardena;46,5981481;11,5320555
Postal;46,6058996;11,1942178
Prato allo Stelvio;46,6189570;10,5926753
Predoi;47,0529210;12,1201300
Proves;46,4760514;11,0191665
Racines;46,8670554;11,2850171
Rasun Anterselva;46,7795555;12,0484629
Renon;46,5425185;11,4584629
Rifiano;46,7047037;11,1828333
Rio di Pusteria;46,7987592;11,6692407
Rodengo;46,7802334;11,6898588
Salorno;46,2401666;11,2131296
S.Candido;46,7339074;12,2800185
S.Genesio Atesino;46,5367222;11,3306296
S.Leonardo in Passiria;46,8137592;11,2468888
S.Lorenzo di Sebato;46,7832344;11,9024463
S.Martino in Badia;46,6825185;11,8992407
S.Martino in Passiria;46,7848518;11,2284629
S.Pancrazio;46,5861437;11,0865725
S.Cristina Valgardena;46,5589285;11,7283024
Sarentino;46,6426550;11,3580047
Scena;46,6911111;11,1873518
Selva dei Molini;46,8998795;11,8451885
Selva di Val Gardena;46,5564914;11,7547550
Senales;46,7136806;10,8874002
Senale-S.Felice;46,4918545;11,1330852
Sesto;46,7026647;12,3503168
Silandro;46,6293888;10,7723703
Sluderno;46,6644866;10,5854671
Stelvio;46,5983986;10,5472142
Terento;46,8314074;11,7811111
Terlano;46,5288317;11,2496420
Termeno s.s.d.v.;46,3426433;11,2430463
Tesimo;46,5630429;11,1714454
Tires;46,4694631;11,5254524
Tirolo;46,6828628;11,1616655
Trodena nel parco naturale;46,3265420;11,3492200
Tubre;46,6454481;10,4639903
Ultimo;46,5481909;11,0037147
Vadena;46,4145370;11,3061111
Val di Vizze;46,8997999;11,4603215
Valdaora;46,7615688;12,0308862
Valle Aurina;46,9970633;11,9804563
Valle di Casies;46,7684733;12,1805875
Vandoies;46,8173749;11,7232496
Varna;46,7389404;11,6397428
Velturno;46,6686958;11,5964144
Verano;46,6051025;11,2265969
Villabassa;46,7380720;12,1727230
Villandro;46,6313707;11,5393386
Vipiteno;46,8991873;11,4311707
