Cod Istat,Wohngemeinde,latitudine,longitudine,Comune di residenza,16-03-2020,18-03-2020,20-03-2020,21-03-2020,22-03-2020
21117,Wengen,"46,6569971","11,9253532",La Valle,1.0,1.0,2.0,2.0,2.0
21116,Feldthurns,"46,6686958","11,5964144",Velturno,6.0,6.0,7.0,7.0,7.0
21115,Sterzing,"46,8991873","11,4311707",Vipiteno,9.0,20.0,22.0,22.0,22.0
21111,Vahrn,"46,7389404","11,6397428",Varna,11.0,12.0,13.0,13.0,13.0
21110,Vintl,"46,8173749","11,7232496",Vandoies,1.0,6.0,6.0,6.0,6.0
21109,Gsies,"46,7684733","12,1805875",Valle di Casies,1.0,1.0,2.0,2.0,2.0
21108,Ahrntal,"46,9970633","11,9804563",Valle Aurina,1.0,1.0,1.0,1.0,1.0
21107,Pfitsch,"46,8997999","11,4603215",Val di Vizze,6.0,10.0,28.0,30.0,30.0
21106,Olang,"46,7615688","12,0308862",Valdaora,1.0,1.0,1.0,4.0,6.0
21105,Pfatten,"46,4145370","11,3061111",Vadena,2.0,2.0,2.0,2.0,2.0
21104,Ulten,"46,5481909","11,0037147",Ultimo,1.0,2.0,2.0,2.0,2.0
21102,Truden im Naturpark,"46,3265420","11,3492200",Trodena nel parco naturale,8.0,8.0,8.0,8.0,8.0
21101,Tirol,"46,6828628","11,1616655",Tirolo,2.0,2.0,2.0,2.0,2.0
21100,Tiers,"46,4694631","11,5254524",Tires,14.0,18.0,18.0,18.0,18.0
21099,Tisens,"46,5630429","11,1714454",Tesimo,5.0,9.0,9.0,9.0,17.0
21098,Tramin a.d. Weinstr.,"46,3426433","11,2430463",Termeno s.s.d.v.,1.0,1.0,1.0,1.0,1.0
21097,Terlan,"46,5288317","11,2496420",Terlano,8.0,9.0,14.0,25.0,25.0
21094,Schluderns,"46,6644866","10,5854671",Sluderno,1.0,1.0,1.0,1.0,1.0
21093,Schlanders,"46,6293888","10,7723703",Silandro,15.0,15.0,15.0,16.0,16.0
21089,Wolkenstein in Gröden,"46,5564914","11,7547550",Selva di Val Gardena,89.0,106.0,136.0,140.0,144.0
21087,Schenna,"46,6911111","11,1873518",Scena,1.0,1.0,2.0,3.0,3.0
21085,St.Christina in Gröden,"46,5589285","11,7283024",S.Cristina Valgardena,30.0,41.0,45.0,56.0,58.0
21084,St.Pankraz,"46,5861437","11,0865725",S.Pancrazio,3.0,4.0,4.0,4.0,4.0
21083,St.Martin in Passeier,"46,7848518","11,2284629",S.Martino in Passiria,5.0,6.0,11.0,11.0,11.0
21082,St.Martin in Thurn,"46,6825185","11,8992407",S.Martino in Badia,1.0,,4.0,4.0,4.0
21081,St.Lorenzen,"46,7832344","11,9024463",S.Lorenzo di Sebato,2.0,2.0,4.0,5.0,8.0
21080,St.Leonhard in Pass.,"46,8137592","11,2468888",S.Leonardo in Passiria,1.0,,1.0,1.0,1.0
21079,Jenesien,"46,5367222","11,3306296",S.Genesio Atesino,1.0,4.0,4.0,5.0,5.0
21077,Innichen,"46,7339074","12,2800185",S.Candido,1.0,1.0,1.0,1.0,7.0
21076,Salurn,"46,2401666","11,2131296",Salorno,1.0,1.0,1.0,1.0,1.0
21074,Mühlbach,"46,7987592","11,6692407",Rio di Pusteria,1.0,1.0,3.0,3.0,3.0
21072,Ritten,"46,5425185","11,4584629",Renon,9.0,9.0,9.0,10.0,19.0
21070,Ratschings,"46,8670554","11,2850171",Racines,4.0,6.0,10.0,15.0,20.0
21067,Prad am Stilfser Joch,"46,6189570","10,5926753",Prato allo Stelvio,2.0,3.0,4.0,4.0,4.0
21066,Burgstall,"46,6058996","11,1942178",Postal,2.0,2.0,3.0,4.0,4.0
21063,Percha,"46,7944891","11,9826886",Perca,1.0,1.0,1.0,1.0,1.0
21061,St.Ulrich,"46,5760000","11,6685500",Ortisei,107.0,139.0,166.0,167.0,175.0
21060,Auer,"46,3457666","11,2963371",Ora,1.0,4.0,6.0,6.0,10.0
21059,Deutschnofen,"46,4139259","11,4315740",Nova Ponente,67.0,46.0,51.0,55.0,55.0
21057,Natz-Schabs,"46,7698703","11,6667407",Naz-Sciaves,22.0,21.0,25.0,25.0,27.0
21056,Naturns,"46,6540600","11,0078300",Naturno,4.0,4.0,4.0,6.0,6.0
21055,Nals,"46,5437610","11,2076990",Nalles,4.0,5.0,6.0,6.0,6.0
21054,Moos in Passeier,"46,8326339","11,1664255",Moso in Passiria,12.0,12.0,14.0,14.0,14.0
21053,Montan,"46,3314231","11,3019502",Montagna,2.0,2.0,14.0,16.0,16.0
21051,Meran,"46,6691035","11,1639856",Merano,59.0,74.0,91.0,95.0,100.0
21050,Mölten,"46,6078505","11,2676028",Meltina,1.0,1.0,1.0,1.0,1.0
21049,Martell,"46,5658761","10,7824609",Martello,1.0,1.0,1.0,1.0,1.0
21048,Marling,"46,6564259","11,1439074",Marlengo,1.0,1.0,1.0,1.0,1.0
21047,Enneberg,"46,6990330","11,9342604",Marebbe,8.0,8.0,13.0,18.0,18.0
21046,Mals,"46,6853333","10,5498703",Malles Venosta,2.0,1.0,2.0,2.0,2.0
